10gs	 -8.79
1a8i	 -7.58
1a99	 -7.82
1ax0	 -4.30
1b6j	-10.87
1b6l	-11.39
1b6m	-11.53
1duv	-16.20
1dy4	 -5.99
1e2k	 -6.78
1fcx	 -9.77
1fh8	 -9.46
1fh9	 -8.83
1fhd	 -9.36
1g2k	-10.93
1gj8	 -9.55
1gjd	 -7.17
1gpk	 -7.37
1gyy	 -5.00
1gz9	 -4.82
1gzc	 -4.79
1h22	-12.49
1h23	-11.46
1h46	 -4.90
1ha2	 -7.60
1hnn	 -8.57
1i7z	 -8.79
1iy7	 -8.50
1jgl	-11.94
1kzk	-14.26
1lnm	-11.94
1lrh	 -9.36
1nc1	 -8.40
1nc3	 -6.86
1nli	 -4.93
1nw5	 -7.15
1ow4	 -7.80
1p1n	 -9.33
1p1o	 -7.91
1ps3	 -3.13
1pxp	 -9.14
1r5y	 -8.87
1s38	 -7.07
1s39	-10.57
1sr7	-13.86
1sw1	-10.02
1syh	 -8.80
1syi	 -7.52
1toj	 -4.65
1tok	 -3.39
1u1w	 -8.03
1ua4	 -5.79
1ugx	 -8.11
1ui0	 -9.69
1urg	 -7.99
1utm	 -4.13
1uwu	 -8.21
1uz1	 -9.46
1uz4	 -4.67
1v0l	 -8.68
1v1j	 -6.62
1w2g	 -6.27
1ws4	 -4.12
1x8d	 -3.03
1x9d	 -5.44
1xge	 -6.42
1y0l	-12.35
1y1m	 -2.50
1y1z	 -4.23
1y20	 -7.30
1yc1	 -8.47
1ydk	 -8.09
1z95	 -9.77
1zhy	 -8.95
2aac	 -3.05
2afx	 -7.07
2ayr	-12.75
2azr	 -5.00
2b07	 -8.83
2boh	-11.70
2boj	 -7.92
2brb	 -6.67
2bvd	 -8.24
2byr	-11.74
2cji	-11.28
2d3u	 -9.50
2d3z	 -9.11
2f5t	 -7.10
2fai	 -8.57
2fdp	-10.42
2ff1	-11.27
2fpz	 -5.44
2fqt	 -8.43
2fqw	 -9.17
2fqx	 -9.81
2fqy	 -9.02
2fvd	-11.70
2fw6	 -4.01
2fxu	-11.19
2h6b	 -7.40
2hb1	 -5.22
2hdq	 -1.92
2hdr	 -2.36
2i0a	-15.65
2i0d	-16.61
2il2	 -9.75
2iwx	 -9.17
2j2u	 -9.68
2j34	-10.73
2j4i	-12.35
2j78	 -8.81
1bcj	 -5.08
1bky	 -5.27
1d4i	-12.15
1d4j	-11.48
1eby	-13.32
1ebz	-12.90
1ec0	-11.65
1ec1	-12.24
1ec2	-13.73
1enu	 -6.97
1f74	 -4.19
1gi9	 -8.18
1gww	 -5.88
1gx0	 -5.88
1o5a	 -8.81
1o5r	-11.15
1q4w	 -8.87
1qkt	-12.41
1qxl	-10.93
1rdi	 -2.83
1rdn	 -2.53
1tr7	 -9.36
1usi	 -9.25
1usk	 -8.79
1w3k	 -5.90
1yxd	 -6.27
2a3c	 -6.00
2fv5	-14.44
2h21	 -8.98
2hd6	-10.71
2buv	 -5.49
1xl5	-10.09
1y93	 -2.88
4ubp	 -7.67
1lhw	-11.20
1q0y	-12.35
1s50	 -8.03
1s7y	 -8.03
1s9t	 -9.06
1tt1	 -9.87
1txf	 -9.94
1uld	 -7.34
1uzv	 -7.11
1zhx	 -9.97
2dm5	 -4.10
1q6e	 -3.60
1q6g	 -2.83
1xw6	 -7.71
1ax2	 -5.48
2hj4	 -7.37
2qrk	 -5.85
2nn1	 -7.99
2pou	-10.19
1z3t	 -5.41
3cd0	-10.39
3cda	-10.41
