1cw2	 -8.44
1d2e	 -8.24
1e6q	 -4.32
1fch	 -9.81
1hwk	-11.12
1ii5	 -9.09
1of1	 -6.62
1oim	 -7.30
1tqt	 -2.91
1uy6	 -5.08
1uy7	 -5.08
1uy8	 -5.66
1uy9	 -6.62
1x70	-10.62
1x8r	 -7.60
1y6b	-10.19
1z4n	 -6.20
2b1z	 -9.75
2bfr	 -7.21
2boi	 -5.93
2brc	 -7.07
2byh	 -9.05
2byi	 -8.70
2cf8	-11.12
2cf9	-10.73
2cgf	 -8.80
2cjw	 -7.69
2cn0	-10.51
2f18	 -5.63
2f3f	 -9.22
2fxd	-10.87
2gm1	 -9.61
2ica	-10.57
2j7g	 -9.43
2jdm	 -7.41
2jg0	-10.73
2jh6	-10.67
2nq7	 -7.60
2ow7	 -6.66
2q2a	-10.17
2q6b	-13.07
2q93	 -8.58
2q94	 -8.83
2q96	 -8.13
2qta	 -7.91
2qtg	 -6.97
2r4f	-12.11
2uup	 -5.46
2uy5	 -7.54
2v59	-11.24
2vti	 -8.48
2vtq	 -9.40
2vu3	-10.06
2w3k	-13.86
2w67	 -7.00
2w6n	 -9.47
2w97	-11.05
2x2r	 -8.59
2x8z	-10.93
2xa4	-11.70
2xc4	-11.05
2xd9	 -8.87
2xk4	 -6.55
2xm1	 -7.82
2xp5	 -4.72
2y7x	-12.35
2yek	-10.28
3a6q	-12.42
3a6r	-12.16
3ar4	 -9.35
3b27	 -7.08
3be2	-11.94
3bhx	-12.56
3ccn	 -9.50
3cic	-11.70
3cs9	 -6.15
3d50	 -6.55
3duy	 -8.03
3dx0	-10.21
3dx2	 -9.36
3dx3	 -8.95
3ehy	 -8.03
3ejp	-11.74
3ejq	-11.76
3ejr	-11.76
3ejt	-10.10
3elm	-12.77
3epa	 -4.53
3f80	 -5.79
3fh5	 -9.69
3fzs	 -7.99
3fzt	 -8.51
3g2k	 -6.58
3gi5	-15.40
3gi6	-15.40
3guj	 -6.27
3gum	 -5.24
3gwu	 -6.47
3h0w	 -8.54
3htb	 -5.67
3hv6	 -7.22
3i25	-11.68
3ijh	 -5.49
3ik3	-11.94
3iok	-13.32
3k5c	-10.67
3kdm	 -9.61
3kek	-11.48
3kf7	-10.16
3l0e	-10.98
3lzx	 -6.66
3ot8	-11.05
3p8o	-11.97
3pd2	 -7.51
3pd3	 -6.09
3pjc	-10.39
3px8	 -5.00
3pxy	 -7.18
3qbh	 -9.36
3qox	 -9.02
3r7x	 -9.73
3vgw	 -7.28
3vhi	 -8.73
